[-4.081196218710928, -2.847641081850907;
18.751755612964505, 6.287207021688859;
-18.701734053223305, -16.6530809095853;
-10.26072665171305, -17.362352530478375;
1.8531684313336139, -15.489493759870786;
-2.6666134455936796, 9.807758552179926;
3.4178515257438304, -17.77860528037827;
-6.690272412453403, -42.73289478021531;
-2.6666134455936796, 9.807758552179926;
-2.864047389763733, 4.348550692772928;
-2.626233933141903, -1.4852762223835425;
-1.995157532360357, -1.0269571628052097;
-1.9022020293278348, 2.1602249388135704;
9.872677031958004, 5.594172974723055;
9.484598399226089, -2.7850658807023345;
10.245261765726124, -2.560797398933965;
10.657096576644332, -2.4751197885341947;
5.917497626915756, -13.262447719753691;
6.381773040300445, -13.463575339597002;
7.443293684119731, -17.94532528404726;
2.2462911960833067, -19.194306748469533;
16.437881529813016, 1.2221005958285078;
-19.791616911925317, -26.557110198065956;
-8.132663491107754, -4.346774475878904;
-29.600064885390005, 24.920171056094134;
-34.54898503147442, 11.659276220167618;
-3.4091917559375715, -2.624016053122646;
-1.3151576606067272, 8.054878705263702;
-14.179178307698846, -38.740119354868305]



